Year,State,Metric,Age Range,"Events per 1,000 women"
2015,MT,Birth Rate,30-34,105.2
2016,MT,Birth Rate,30-34,100.8
1988,NE,Birth Rate,30-34,77.1
1992,NE,Birth Rate,30-34,80.8
1996,NE,Birth Rate,30-34,88.3
2000,NE,Birth Rate,30-34,104.3
2005,NE,Birth Rate,30-34,107.5
2006,NE,Birth Rate,30-34,110.2
2007,NE,Birth Rate,30-34,109.1
2008,NE,Birth Rate,30-34,110.8
2009,NE,Birth Rate,30-34,112.8
2010,NE,Birth Rate,30-34,107.3
2011,NE,Birth Rate,30-34,111
2012,NE,Birth Rate,30-34,113.5
2013,NE,Birth Rate,30-34,112.1
2014,NE,Birth Rate,30-34,122
2015,NE,Birth Rate,30-34,119.6
2016,NE,Birth Rate,30-34,123.3
1988,NV,Birth Rate,30-34,66.1
1992,NV,Birth Rate,30-34,72
1996,NV,Birth Rate,30-34,71.4
2000,NV,Birth Rate,30-34,85.8
2005,NV,Birth Rate,30-34,92.6
2006,NV,Birth Rate,30-34,96.4
2007,NV,Birth Rate,30-34,99.4
2008,NV,Birth Rate,30-34,92.4
2009,NV,Birth Rate,30-34,90.2
2010,NV,Birth Rate,30-34,87.3
2011,NV,Birth Rate,30-34,88.9
2012,NV,Birth Rate,30-34,88.3
2013,NV,Birth Rate,30-34,90.3
2014,NV,Birth Rate,30-34,92.7
2015,NV,Birth Rate,30-34,91.4
2016,NV,Birth Rate,30-34,91.6
1988,NH,Birth Rate,30-34,79.4
1992,NH,Birth Rate,30-34,85.6
1996,NH,Birth Rate,30-34,85.4
2000,NH,Birth Rate,30-34,94.8
2005,NH,Birth Rate,30-34,109.2
2006,NH,Birth Rate,30-34,103.2
2007,NH,Birth Rate,30-34,104.7
2008,NH,Birth Rate,30-34,105.8
2009,NH,Birth Rate,30-34,102.7
2010,NH,Birth Rate,30-34,102.9
2011,NH,Birth Rate,30-34,103.3
2012,NH,Birth Rate,30-34,99.5
2013,NH,Birth Rate,30-34,101.9
2014,NH,Birth Rate,30-34,103.1
2015,NH,Birth Rate,30-34,104.9
2016,NH,Birth Rate,30-34,106.4
1988,NJ,Birth Rate,30-34,91
1992,NJ,Birth Rate,30-34,98
1996,NJ,Birth Rate,30-34,103
2000,NJ,Birth Rate,30-34,111.3
2005,NJ,Birth Rate,30-34,118.8
2006,NJ,Birth Rate,30-34,120.6
2007,NJ,Birth Rate,30-34,123.6
2008,NJ,Birth Rate,30-34,120.7
2009,NJ,Birth Rate,30-34,119.5
2010,NJ,Birth Rate,30-34,117
2011,NJ,Birth Rate,30-34,117.1
2012,NJ,Birth Rate,30-34,115.9
2013,NJ,Birth Rate,30-34,117.4
2014,NJ,Birth Rate,30-34,121.1
2015,NJ,Birth Rate,30-34,122
2016,NJ,Birth Rate,30-34,123
1988,NM,Birth Rate,30-34,73.7
1992,NM,Birth Rate,30-34,73.9
1996,NM,Birth Rate,30-34,71.4
2000,NM,Birth Rate,30-34,77.4
2005,NM,Birth Rate,30-34,82.8
2006,NM,Birth Rate,30-34,85.9
2007,NM,Birth Rate,30-34,88.5
2008,NM,Birth Rate,30-34,86.7
2009,NM,Birth Rate,30-34,80.9
2010,NM,Birth Rate,30-34,80.4
2011,NM,Birth Rate,30-34,80
2012,NM,Birth Rate,30-34,80.8
2013,NM,Birth Rate,30-34,77.7
2014,NM,Birth Rate,30-34,81.6
2015,NM,Birth Rate,30-34,82.9
2016,NM,Birth Rate,30-34,82.7
1988,NY,Birth Rate,30-34,87.6
1992,NY,Birth Rate,30-34,92.9
1996,NY,Birth Rate,30-34,92.8
2000,NY,Birth Rate,30-34,97.2
2005,NY,Birth Rate,30-34,101.1
2006,NY,Birth Rate,30-34,103.4
2007,NY,Birth Rate,30-34,106
2008,NY,Birth Rate,30-34,104.2
2009,NY,Birth Rate,30-34,104.5
2010,NY,Birth Rate,30-34,103.7
2011,NY,Birth Rate,30-34,102.5
2012,NY,Birth Rate,30-34,103.1
2013,NY,Birth Rate,30-34,101.9
2014,NY,Birth Rate,30-34,104.5
2015,NY,Birth Rate,30-34,104.6
2016,NY,Birth Rate,30-34,104.4
1988,NC,Birth Rate,30-34,61.1
1992,NC,Birth Rate,30-34,66.7
1996,NC,Birth Rate,30-34,72
2000,NC,Birth Rate,30-34,84.3
2005,NC,Birth Rate,30-34,89.3
2006,NC,Birth Rate,30-34,90.9
2007,NC,Birth Rate,30-34,92.6
2008,NC,Birth Rate,30-34,92.4
2009,NC,Birth Rate,30-34,88.8
2010,NC,Birth Rate,30-34,87.1
2011,NC,Birth Rate,30-34,88.6
2012,NC,Birth Rate,30-34,89.7
2013,NC,Birth Rate,30-34,90.7
2014,NC,Birth Rate,30-34,93.7
2015,NC,Birth Rate,30-34,95.8
2016,NC,Birth Rate,30-34,97.4
1988,ND,Birth Rate,30-34,77.4
1992,ND,Birth Rate,30-34,81.7
1996,ND,Birth Rate,30-34,87.6
2000,ND,Birth Rate,30-34,92
2005,ND,Birth Rate,30-34,99
2006,ND,Birth Rate,30-34,99.5
2007,ND,Birth Rate,30-34,101.7
2008,ND,Birth Rate,30-34,103.1
2009,ND,Birth Rate,30-34,105.1
2010,ND,Birth Rate,30-34,108.6
2011,ND,Birth Rate,30-34,109.2
2012,ND,Birth Rate,30-34,118.1
2013,ND,Birth Rate,30-34,116.6
2014,ND,Birth Rate,30-34,126.5
2015,ND,Birth Rate,30-34,121.4
2016,ND,Birth Rate,30-34,126.5
1988,OH,Birth Rate,30-34,68.4
1992,OH,Birth Rate,30-34,72.9
1996,OH,Birth Rate,30-34,78.4
2000,OH,Birth Rate,30-34,88.2
2005,OH,Birth Rate,30-34,92.6
2006,OH,Birth Rate,30-34,93.5
2007,OH,Birth Rate,30-34,95.4
2008,OH,Birth Rate,30-34,94.5
2009,OH,Birth Rate,30-34,92.8
2010,OH,Birth Rate,30-34,92.4
2011,OH,Birth Rate,30-34,92.8
2012,OH,Birth Rate,30-34,94.1
2013,OH,Birth Rate,30-34,96.2
2014,OH,Birth Rate,30-34,99.4
2015,OH,Birth Rate,30-34,101.3
2016,OH,Birth Rate,30-34,102.2
1988,OK,Birth Rate,30-34,58.7
1992,OK,Birth Rate,30-34,59.2
1996,OK,Birth Rate,30-34,63.2
2000,OK,Birth Rate,30-34,74.3
2005,OK,Birth Rate,30-34,79.2
2006,OK,Birth Rate,30-34,79.1
2007,OK,Birth Rate,30-34,80.7
2008,OK,Birth Rate,30-34,80.5
2009,OK,Birth Rate,30-34,80.5
2010,OK,Birth Rate,30-34,82.5
2011,OK,Birth Rate,30-34,79.6
2012,OK,Birth Rate,30-34,83.4
2013,OK,Birth Rate,30-34,86.7
2014,OK,Birth Rate,30-34,87.3
2015,OK,Birth Rate,30-34,89.6
2016,OK,Birth Rate,30-34,91.6
1988,OR,Birth Rate,30-34,69.3
1992,OR,Birth Rate,30-34,73.1
1996,OR,Birth Rate,30-34,77.6
2000,OR,Birth Rate,30-34,86.7
2005,OR,Birth Rate,30-34,88.6
2006,OR,Birth Rate,30-34,95.2
2007,OR,Birth Rate,30-34,95.7
2008,OR,Birth Rate,30-34,94.2
2009,OR,Birth Rate,30-34,92.2
2010,OR,Birth Rate,30-34,89.2
2011,OR,Birth Rate,30-34,90.1
2012,OR,Birth Rate,30-34,90.3
2013,OR,Birth Rate,30-34,92.7
2014,OR,Birth Rate,30-34,94.2
2015,OR,Birth Rate,30-34,93.7
2016,OR,Birth Rate,30-34,92.7
1988,PA,Birth Rate,30-34,77.4
1992,PA,Birth Rate,30-34,81.9
1996,PA,Birth Rate,30-34,87.5
2000,PA,Birth Rate,30-34,92.8
2005,PA,Birth Rate,30-34,100.8
2006,PA,Birth Rate,30-34,104
2007,PA,Birth Rate,30-34,105
2008,PA,Birth Rate,30-34,102.6
2009,PA,Birth Rate,30-34,102.5
2010,PA,Birth Rate,30-34,101.7
2011,PA,Birth Rate,30-34,101.5
2012,PA,Birth Rate,30-34,101.9
2013,PA,Birth Rate,30-34,102.9
2014,PA,Birth Rate,30-34,105.1
2015,PA,Birth Rate,30-34,105.5
2016,PA,Birth Rate,30-34,106.2
1988,RI,Birth Rate,30-34,78.9
1992,RI,Birth Rate,30-34,84
1996,RI,Birth Rate,30-34,87.7
2000,RI,Birth Rate,30-34,86.6
2005,RI,Birth Rate,30-34,102.9
2006,RI,Birth Rate,30-34,100.9
2007,RI,Birth Rate,30-34,97.8
2008,RI,Birth Rate,30-34,100.9
2009,RI,Birth Rate,30-34,94.9
2010,RI,Birth Rate,30-34,97.8
2011,RI,Birth Rate,30-34,96.1
2012,RI,Birth Rate,30-34,96.6
2013,RI,Birth Rate,30-34,97.5
2014,RI,Birth Rate,30-34,99.1
2015,RI,Birth Rate,30-34,104.1
2016,RI,Birth Rate,30-34,99.8
1988,SC,Birth Rate,30-34,63.7
1992,SC,Birth Rate,30-34,65
1996,SC,Birth Rate,30-34,67.3
2000,SC,Birth Rate,30-34,73.9
2005,SC,Birth Rate,30-34,81.2
2006,SC,Birth Rate,30-34,85.9
2007,SC,Birth Rate,30-34,87.3
2008,SC,Birth Rate,30-34,85.3
2009,SC,Birth Rate,30-34,83.6
2010,SC,Birth Rate,30-34,82.7
2011,SC,Birth Rate,30-34,83.1
2012,SC,Birth Rate,30-34,84.5
2013,SC,Birth Rate,30-34,86.3
2014,SC,Birth Rate,30-34,88.6
2015,SC,Birth Rate,30-34,90.4
2016,SC,Birth Rate,30-34,91.1
1988,SD,Birth Rate,30-34,78.5
1992,SD,Birth Rate,30-34,82.9
1996,SD,Birth Rate,30-34,89
2000,SD,Birth Rate,30-34,96
2005,SD,Birth Rate,30-34,105.1
2006,SD,Birth Rate,30-34,110.1
2007,SD,Birth Rate,30-34,111.6
2008,SD,Birth Rate,30-34,111.7
2009,SD,Birth Rate,30-34,111.1
2010,SD,Birth Rate,30-34,108.2
2011,SD,Birth Rate,30-34,108.5
2012,SD,Birth Rate,30-34,111.6
2013,SD,Birth Rate,30-34,113
2014,SD,Birth Rate,30-34,119.6
2015,SD,Birth Rate,30-34,123.4
2016,SD,Birth Rate,30-34,122.5
1988,TN,Birth Rate,30-34,55
1992,TN,Birth Rate,30-34,59.4
1996,TN,Birth Rate,30-34,62.6
2000,TN,Birth Rate,30-34,72.8
2005,TN,Birth Rate,30-34,76.6
2006,TN,Birth Rate,30-34,79.3
2007,TN,Birth Rate,30-34,81.7
2008,TN,Birth Rate,30-34,81.3
2009,TN,Birth Rate,30-34,78.4
2010,TN,Birth Rate,30-34,78
2011,TN,Birth Rate,30-34,80
2012,TN,Birth Rate,30-34,81.9
2013,TN,Birth Rate,30-34,84.2
2014,TN,Birth Rate,30-34,87.7
2015,TN,Birth Rate,30-34,88.4
2016,TN,Birth Rate,30-34,90.8
1988,TX,Birth Rate,30-34,72.5
1992,TX,Birth Rate,30-34,76.3
1996,TX,Birth Rate,30-34,78.1
2000,TX,Birth Rate,30-34,91
2005,TX,Birth Rate,30-34,95.6
2006,TX,Birth Rate,30-34,96.4
2007,TX,Birth Rate,30-34,97.9
2008,TX,Birth Rate,30-34,97.6
2009,TX,Birth Rate,30-34,96
2010,TX,Birth Rate,30-34,93.4
2011,TX,Birth Rate,30-34,93
2012,TX,Birth Rate,30-34,94.5
2013,TX,Birth Rate,30-34,95.1
2014,TX,Birth Rate,30-34,99.9
2015,TX,Birth Rate,30-34,101.3
2016,TX,Birth Rate,30-34,100.9
1973,US,Birth Rate,30-34,55.7
1974,US,Birth Rate,30-34,53.9
1975,US,Birth Rate,30-34,52.4
1976,US,Birth Rate,30-34,53.5
1977,US,Birth Rate,30-34,56.3
1978,US,Birth Rate,30-34,57.8
1979,US,Birth Rate,30-34,60.2
1980,US,Birth Rate,30-34,61.3
1981,US,Birth Rate,30-34,61.4
1982,US,Birth Rate,30-34,64.1
1983,US,Birth Rate,30-34,64.9
1984,US,Birth Rate,30-34,67
1985,US,Birth Rate,30-34,69.1
1986,US,Birth Rate,30-34,70.1
1987,US,Birth Rate,30-34,72.1
1988,US,Birth Rate,30-34,74.8
1989,US,Birth Rate,30-34,77.4
1990,US,Birth Rate,30-34,80.4
1991,US,Birth Rate,30-34,79.2
1992,US,Birth Rate,30-34,79.6
1993,US,Birth Rate,30-34,79.9
1994,US,Birth Rate,30-34,80.4
1995,US,Birth Rate,30-34,81.1
1996,US,Birth Rate,30-34,82.1
1997,US,Birth Rate,30-34,83
1998,US,Birth Rate,30-34,85.2
1999,US,Birth Rate,30-34,87.1
2000,US,Birth Rate,30-34,91.1
2001,US,Birth Rate,30-34,91.8
2002,US,Birth Rate,30-34,92.6
2003,US,Birth Rate,30-34,95.7
2004,US,Birth Rate,30-34,96.2
2005,US,Birth Rate,30-34,96.7
2006,US,Birth Rate,30-34,98.9
2007,US,Birth Rate,30-34,100.6
2008,US,Birth Rate,30-34,99.4
2009,US,Birth Rate,30-34,97.5
2010,US,Birth Rate,30-34,96.1
2011,US,Birth Rate,30-34,96.3
2012,US,Birth Rate,30-34,97.2
2013,US,Birth Rate,30-34,97.8
2014,US,Birth Rate,30-34,100.9
2015,US,Birth Rate,30-34,101.7
2016,US,Birth Rate,30-34,102.6
1988,UT,Birth Rate,30-34,100.5
1992,UT,Birth Rate,30-34,102.2
1996,UT,Birth Rate,30-34,103.3
2000,UT,Birth Rate,30-34,117.2
2005,UT,Birth Rate,30-34,121.8
2006,UT,Birth Rate,30-34,125.5
2007,UT,Birth Rate,30-34,127.4
2008,UT,Birth Rate,30-34,126.6
2009,UT,Birth Rate,30-34,126
2010,UT,Birth Rate,30-34,121.9
2011,UT,Birth Rate,30-34,122.1
2012,UT,Birth Rate,30-34,121.2
2013,UT,Birth Rate,30-34,123.5
2014,UT,Birth Rate,30-34,123.9
2015,UT,Birth Rate,30-34,125.3
2016,UT,Birth Rate,30-34,126.4
1988,VT,Birth Rate,30-34,78.3
1992,VT,Birth Rate,30-34,79.5
1996,VT,Birth Rate,30-34,81
2000,VT,Birth Rate,30-34,84
2005,VT,Birth Rate,30-34,88.3
2006,VT,Birth Rate,30-34,92.7
2007,VT,Birth Rate,30-34,90.5
2008,VT,Birth Rate,30-34,93.5
2009,VT,Birth Rate,30-34,92.5
2010,VT,Birth Rate,30-34,100.6
2011,VT,Birth Rate,30-34,93.4
2012,VT,Birth Rate,30-34,93.8
2013,VT,Birth Rate,30-34,94.2
2014,VT,Birth Rate,30-34,100.8
2015,VT,Birth Rate,30-34,99.2
2016,VT,Birth Rate,30-34,98.3
1988,VA,Birth Rate,30-34,71.3
1992,VA,Birth Rate,30-34,77
1996,VA,Birth Rate,30-34,79.7
2000,VA,Birth Rate,30-34,91.7
2005,VA,Birth Rate,30-34,98.5
2006,VA,Birth Rate,30-34,101.7
2007,VA,Birth Rate,30-34,103.8
2008,VA,Birth Rate,30-34,102.4
2009,VA,Birth Rate,30-34,102.3
2010,VA,Birth Rate,30-34,101
2011,VA,Birth Rate,30-34,101
2012,VA,Birth Rate,30-34,102.4
2013,VA,Birth Rate,30-34,102.6
2014,VA,Birth Rate,30-34,105.4
2015,VA,Birth Rate,30-34,106.4
2016,VA,Birth Rate,30-34,107
1988,WA,Birth Rate,30-34,73.1
1992,WA,Birth Rate,30-34,79.3
1996,WA,Birth Rate,30-34,79.2
2000,WA,Birth Rate,30-34,91
2005,WA,Birth Rate,30-34,96.3
2006,WA,Birth Rate,30-34,99.7
2007,WA,Birth Rate,30-34,101.9
2008,WA,Birth Rate,30-34,101.9
2009,WA,Birth Rate,30-34,100.9
2010,WA,Birth Rate,30-34,99.9
2011,WA,Birth Rate,30-34,99.6
2012,WA,Birth Rate,30-34,101.9
2013,WA,Birth Rate,30-34,101.8
2014,WA,Birth Rate,30-34,103.9
2015,WA,Birth Rate,30-34,105
2016,WA,Birth Rate,30-34,107
1988,WV,Birth Rate,30-34,48
1992,WV,Birth Rate,30-34,50.6
1996,WV,Birth Rate,30-34,56.5
2000,WV,Birth Rate,30-34,59.2
2005,WV,Birth Rate,30-34,68.3
2006,WV,Birth Rate,30-34,66.9
2007,WV,Birth Rate,30-34,74
2008,WV,Birth Rate,30-34,70.7
2009,WV,Birth Rate,30-34,70.8
2010,WV,Birth Rate,30-34,68.8
2011,WV,Birth Rate,30-34,71.6
2012,WV,Birth Rate,30-34,74
2013,WV,Birth Rate,30-34,75.8
2014,WV,Birth Rate,30-34,74.2
2015,WV,Birth Rate,30-34,76.5
2016,WV,Birth Rate,30-34,78.8
1988,WI,Birth Rate,30-34,75.1
1992,WI,Birth Rate,30-34,80.7
1996,WI,Birth Rate,30-34,85.8
2000,WI,Birth Rate,30-34,96.2
2005,WI,Birth Rate,30-34,101.3
2006,WI,Birth Rate,30-34,101.5
2007,WI,Birth Rate,30-34,104.5
2008,WI,Birth Rate,30-34,104.9
2009,WI,Birth Rate,30-34,104
2010,WI,Birth Rate,30-34,104.8
2011,WI,Birth Rate,30-34,104.6
2012,WI,Birth Rate,30-34,104.2
2013,WI,Birth Rate,30-34,105.7
2014,WI,Birth Rate,30-34,108.1
2015,WI,Birth Rate,30-34,110.2
2016,WI,Birth Rate,30-34,113.5
1988,WY,Birth Rate,30-34,66.2
1992,WY,Birth Rate,30-34,66
1996,WY,Birth Rate,30-34,68.4
2000,WY,Birth Rate,30-34,72.3
2005,WY,Birth Rate,30-34,80.9
2006,WY,Birth Rate,30-34,84.3
2007,WY,Birth Rate,30-34,88.4
2008,WY,Birth Rate,30-34,89.1
2009,WY,Birth Rate,30-34,90.6
2010,WY,Birth Rate,30-34,84
2011,WY,Birth Rate,30-34,87
2012,WY,Birth Rate,30-34,89.1
2013,WY,Birth Rate,30-34,88.4
2014,WY,Birth Rate,30-34,90.5
2015,WY,Birth Rate,30-34,94.6
2016,WY,Birth Rate,30-34,96.8
1988,AL,Birth Rate,25-29,103.8
1992,AL,Birth Rate,25-29,108.6
1996,AL,Birth Rate,25-29,101.2
2000,AL,Birth Rate,25-29,113.6
2005,AL,Birth Rate,25-29,113.5
2006,AL,Birth Rate,25-29,116.9
2007,AL,Birth Rate,25-29,117.8
2008,AL,Birth Rate,25-29,117.9
2009,AL,Birth Rate,25-29,114.5
2010,AL,Birth Rate,25-29,112.3
2011,AL,Birth Rate,25-29,111.3
2012,AL,Birth Rate,25-29,110.3
2013,AL,Birth Rate,25-29,110.6
2014,AL,Birth Rate,25-29,113.3
2015,AL,Birth Rate,25-29,113.2
2016,AL,Birth Rate,25-29,111.2
1988,AK,Birth Rate,25-29,152.5
1992,AK,Birth Rate,25-29,143
1996,AK,Birth Rate,25-29,145.7
2000,AK,Birth Rate,25-29,131.5
2005,AK,Birth Rate,25-29,134.4
2006,AK,Birth Rate,25-29,136.1
2007,AK,Birth Rate,25-29,136.1
2008,AK,Birth Rate,25-29,139.3
2009,AK,Birth Rate,25-29,134.9
2010,AK,Birth Rate,25-29,130.6
2011,AK,Birth Rate,25-29,126.9
2012,AK,Birth Rate,25-29,122.8
2013,AK,Birth Rate,25-29,126.4
2014,AK,Birth Rate,25-29,125.2
2015,AK,Birth Rate,25-29,123.8
2016,AK,Birth Rate,25-29,122.1
1988,AZ,Birth Rate,25-29,128.8
1992,AZ,Birth Rate,25-29,123.5
1996,AZ,Birth Rate,25-29,118.5
2000,AZ,Birth Rate,25-29,129.7
2005,AZ,Birth Rate,25-29,131.6
2006,AZ,Birth Rate,25-29,133.2
2007,AZ,Birth Rate,25-29,131.1
2008,AZ,Birth Rate,25-29,127.6
2009,AZ,Birth Rate,25-29,121.4
2010,AZ,Birth Rate,25-29,116.8
2011,AZ,Birth Rate,25-29,114.2
2012,AZ,Birth Rate,25-29,116.3
2013,AZ,Birth Rate,25-29,116.1
2014,AZ,Birth Rate,25-29,114.7
2015,AZ,Birth Rate,25-29,111.9
2016,AZ,Birth Rate,25-29,108
1988,AR,Birth Rate,25-29,103.9
1992,AR,Birth Rate,25-29,107.5
1996,AR,Birth Rate,25-29,111
2000,AR,Birth Rate,25-29,115.6
2005,AR,Birth Rate,25-29,118.1
2006,AR,Birth Rate,25-29,118.8
2007,AR,Birth Rate,25-29,119.3
2008,AR,Birth Rate,25-29,117.5
2009,AR,Birth Rate,25-29,117.2
2010,AR,Birth Rate,25-29,115.5
2011,AR,Birth Rate,25-29,118.6
2012,AR,Birth Rate,25-29,116.3
2013,AR,Birth Rate,25-29,116.5
2014,AR,Birth Rate,25-29,118.4
2015,AR,Birth Rate,25-29,120.2
2016,AR,Birth Rate,25-29,118.1
1988,CA,Birth Rate,25-29,123.4
1992,CA,Birth Rate,25-29,127.2
1996,CA,Birth Rate,25-29,115.6
2000,CA,Birth Rate,25-29,113.7
2005,CA,Birth Rate,25-29,113.2
2006,CA,Birth Rate,25-29,114.1
2007,CA,Birth Rate,25-29,114.5
2008,CA,Birth Rate,25-29,110.5
2009,CA,Birth Rate,25-29,105.5
2010,CA,Birth Rate,25-29,102.4
2011,CA,Birth Rate,25-29,99.7
2012,CA,Birth Rate,25-29,98.9
2013,CA,Birth Rate,25-29,94.9
2014,CA,Birth Rate,25-29,94.3
2015,CA,Birth Rate,25-29,89.8
2016,CA,Birth Rate,25-29,87.5
1988,CO,Birth Rate,25-29,114.4
1992,CO,Birth Rate,25-29,110.2
1996,CO,Birth Rate,25-29,102.3
2000,CO,Birth Rate,25-29,111.8
2005,CO,Birth Rate,25-29,117.6
2006,CO,Birth Rate,25-29,118.3
2007,CO,Birth Rate,25-29,115.3
2008,CO,Birth Rate,25-29,111.4
2009,CO,Birth Rate,25-29,106.6
2010,CO,Birth Rate,25-29,102.6
2011,CO,Birth Rate,25-29,99.2
2012,CO,Birth Rate,25-29,99.6
2013,CO,Birth Rate,25-29,97.6
2014,CO,Birth Rate,25-29,96.8
2015,CO,Birth Rate,25-29,93.8
2016,CO,Birth Rate,25-29,91.1
1988,CT,Birth Rate,25-29,113.5
1992,CT,Birth Rate,25-29,109.7
1996,CT,Birth Rate,25-29,101
2000,CT,Birth Rate,25-29,101.8
2005,CT,Birth Rate,25-29,102.1
2006,CT,Birth Rate,25-29,104.6
2007,CT,Birth Rate,25-29,106.2
2008,CT,Birth Rate,25-29,100
2009,CT,Birth Rate,25-29,95.1
2010,CT,Birth Rate,25-29,89.4
2011,CT,Birth Rate,25-29,90.7
2012,CT,Birth Rate,25-29,88
2013,CT,Birth Rate,25-29,86.7
2014,CT,Birth Rate,25-29,89.1
2015,CT,Birth Rate,25-29,87.9
2016,CT,Birth Rate,25-29,89
1988,DE,Birth Rate,25-29,112.7
1992,DE,Birth Rate,25-29,112.7
1996,DE,Birth Rate,25-29,94.4
2000,DE,Birth Rate,25-29,113.9
2005,DE,Birth Rate,25-29,110.2
2006,DE,Birth Rate,25-29,110.7
2007,DE,Birth Rate,25-29,112.9
2008,DE,Birth Rate,25-29,119
2009,DE,Birth Rate,25-29,115.5
2010,DE,Birth Rate,25-29,114.5
2011,DE,Birth Rate,25-29,113.3
2012,DE,Birth Rate,25-29,107.8
2013,DE,Birth Rate,25-29,103
2014,DE,Birth Rate,25-29,103.6
2015,DE,Birth Rate,25-29,101.2
2016,DE,Birth Rate,25-29,99
1988,DC,Birth Rate,25-29,73.8
1992,DC,Birth Rate,25-29,79.3
1996,DC,Birth Rate,25-29,56.4
2000,DC,Birth Rate,25-29,59.1
2005,DC,Birth Rate,25-29,60.6
2006,DC,Birth Rate,25-29,64.6
2007,DC,Birth Rate,25-29,62.2
2008,DC,Birth Rate,25-29,61.4
2009,DC,Birth Rate,25-29,58.5
2010,DC,Birth Rate,25-29,52.5
2011,DC,Birth Rate,25-29,46.8
2012,DC,Birth Rate,25-29,46.6
2013,DC,Birth Rate,25-29,42.6
2014,DC,Birth Rate,25-29,44.3
2015,DC,Birth Rate,25-29,43.9
2016,DC,Birth Rate,25-29,46.4
1988,FL,Birth Rate,25-29,112.2
1992,FL,Birth Rate,25-29,108.5
1996,FL,Birth Rate,25-29,104.9
2000,FL,Birth Rate,25-29,109.2
2005,FL,Birth Rate,25-29,112.8
2006,FL,Birth Rate,25-29,113.8
2007,FL,Birth Rate,25-29,113.1
2008,FL,Birth Rate,25-29,109.5
2009,FL,Birth Rate,25-29,105.7
2010,FL,Birth Rate,25-29,103.6
2011,FL,Birth Rate,25-29,101.2
2012,FL,Birth Rate,25-29,100.7
2013,FL,Birth Rate,25-29,100.6
2014,FL,Birth Rate,25-29,101
2015,FL,Birth Rate,25-29,100.8
2016,FL,Birth Rate,25-29,96.9
1988,GA,Birth Rate,25-29,104.9
1992,GA,Birth Rate,25-29,102.8
1996,GA,Birth Rate,25-29,100.3
2000,GA,Birth Rate,25-29,111.9
2005,GA,Birth Rate,25-29,119.8
2006,GA,Birth Rate,25-29,121.6
2007,GA,Birth Rate,25-29,120.9
2008,GA,Birth Rate,25-29,116.8
2009,GA,Birth Rate,25-29,112.9
2010,GA,Birth Rate,25-29,107.7
2011,GA,Birth Rate,25-29,108
2012,GA,Birth Rate,25-29,106.6
2013,GA,Birth Rate,25-29,105.8
2014,GA,Birth Rate,25-29,107.3
2015,GA,Birth Rate,25-29,106.8
2016,GA,Birth Rate,25-29,103.6
1988,HI,Birth Rate,25-29,122.3
1992,HI,Birth Rate,25-29,119
1996,HI,Birth Rate,25-29,118.9
2000,HI,Birth Rate,25-29,111.1
2005,HI,Birth Rate,25-29,110.8
2006,HI,Birth Rate,25-29,114.6
2007,HI,Birth Rate,25-29,112.2
2008,HI,Birth Rate,25-29,112.7
2009,HI,Birth Rate,25-29,112.4
2010,HI,Birth Rate,25-29,113.5
2011,HI,Birth Rate,25-29,111
2012,HI,Birth Rate,25-29,109.7
2013,HI,Birth Rate,25-29,109.7
2014,HI,Birth Rate,25-29,106.9
2015,HI,Birth Rate,25-29,103.4
2016,HI,Birth Rate,25-29,101.8
1988,ID,Birth Rate,25-29,130.5
1992,ID,Birth Rate,25-29,148
1996,ID,Birth Rate,25-29,146.6
2000,ID,Birth Rate,25-29,142.7
2005,ID,Birth Rate,25-29,153.5
2006,ID,Birth Rate,25-29,157.3
2007,ID,Birth Rate,25-29,156.7
2008,ID,Birth Rate,25-29,155.4
2009,ID,Birth Rate,25-29,143.9
2010,ID,Birth Rate,25-29,146
2011,ID,Birth Rate,25-29,138.4
2012,ID,Birth Rate,25-29,142.8
2013,ID,Birth Rate,25-29,142.4
2014,ID,Birth Rate,25-29,138
2015,ID,Birth Rate,25-29,136.8
2016,ID,Birth Rate,25-29,129.7
1988,IL,Birth Rate,25-29,118.3
1992,IL,Birth Rate,25-29,117.7
1996,IL,Birth Rate,25-29,112.6
2000,IL,Birth Rate,25-29,113.4
2005,IL,Birth Rate,25-29,115
2006,IL,Birth Rate,25-29,114
2007,IL,Birth Rate,25-29,113.7
2008,IL,Birth Rate,25-29,108.8
2009,IL,Birth Rate,25-29,104.2
2010,IL,Birth Rate,25-29,100.5
2011,IL,Birth Rate,25-29,98.8
2012,IL,Birth Rate,25-29,97.8
2013,IL,Birth Rate,25-29,95.8
2014,IL,Birth Rate,25-29,97.5
2015,IL,Birth Rate,25-29,98.1
2016,IL,Birth Rate,25-29,96.3
1988,IN,Birth Rate,25-29,109.9
1992,IN,Birth Rate,25-29,117.1
1996,IN,Birth Rate,25-29,110.6
2000,IN,Birth Rate,25-29,125.1
2005,IN,Birth Rate,25-29,128.9
2006,IN,Birth Rate,25-29,128.3
2007,IN,Birth Rate,25-29,129.7
2008,IN,Birth Rate,25-29,127.7
2009,IN,Birth Rate,25-29,125
2010,IN,Birth Rate,25-29,122.5
2011,IN,Birth Rate,25-29,124.1
2012,IN,Birth Rate,25-29,123.3
2013,IN,Birth Rate,25-29,122.7
2014,IN,Birth Rate,25-29,124.3
2015,IN,Birth Rate,25-29,125.3
2016,IN,Birth Rate,25-29,121.7
1988,IA,Birth Rate,25-29,122.9
1992,IA,Birth Rate,25-29,129.5
